[2021-01-21 06:38:35,969] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,981] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,982] {{taskinstance.py:866}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:35,982] {{taskinstance.py:867}} INFO - Starting attempt 1 of 1
[2021-01-21 06:38:35,983] {{taskinstance.py:868}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:36,434] {{bash_operator.py:126}} INFO - [2021-01-13 17:23:00,132] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/AAPL.csv'
[2021-01-21 06:38:36,434] {{bash_operator.py:126}} INFO - [2021-01-13 17:23:09,740] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/AAPL.csv'
[2021-01-21 06:38:36,435] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:36,270] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/AAPL.csv'
[2021-01-21 06:38:36,435] {{bash_operator.py:126}} INFO - [2021-01-13 17:22:54,327] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/AAPL.csv'
[2021-01-21 06:38:36,436] {{bash_operator.py:126}} INFO - [2021-01-13 17:23:05,747] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/AAPL.csv'
[2021-01-21 06:38:36,436] {{bash_operator.py:126}} INFO - [2021-01-13 17:23:13,629] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-13/AAPL.csv'
[2021-01-21 06:38:36,437] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:20,503] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,437] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:32,719] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,438] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:49,893] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,439] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:57,795] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,439] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:27,106] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,440] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:42,192] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
[2021-01-21 06:38:36,440] {{bash_operator.py:126}} INFO - [2021-01-14 22:49:59,505] {taskinstance.py:1396} ERROR - [Errno 2] No such file or directory: '/Users/chowli/Documents/Springboard_DE/Projects/mini-projects/Airflow/marketvol/tmp/data/2021-01-14/AAPL.csv'
